127.0.0.1 - - [14/May/2026 18:05:36] "HEAD / HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:45] "GET /?_=1778796344451 HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:45] "GET /?_=1778796344450 HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:45] "GET /_next/static/css/be5a010b6a9454d5.css HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:45] "GET /_next/static/media/904be59b21bd51cb-s.p.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:45] "GET /_next/static/media/a273567b21a7c318-s.p.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:45] "GET /markets/fort-lauderdale.jpg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:45] "GET /mia-headshot.jpg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:45] "GET /_next/static/media/904be59b21bd51cb-s.p.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:45] "GET /markets/palm-beach.jpg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:45] "GET /markets/boca-raton.jpg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:45] "GET /_next/static/css/be5a010b6a9454d5.css HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:45] "GET /_next/static/media/a273567b21a7c318-s.p.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:45] "GET /logo-lpt.png HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:45] "GET /_next/static/chunks/webpack-56fde41b55fa53df.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:45] "GET /_next/static/chunks/4bd1b696-c41c22badabd4b31.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:45] "GET /?_=1778796344441 HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:45] "GET /mia-headshot.jpg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:45] "GET /markets/fort-lauderdale.jpg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:45] "GET /markets/palm-beach.jpg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:45] "GET /markets/boca-raton.jpg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:45] "GET /manifest.webmanifest HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:45] "GET /logo-lpt.png HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:45] "GET /_next/static/chunks/webpack-56fde41b55fa53df.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:45] "GET /_next/static/chunks/517-e142ec6174824ab2.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:45] "GET /_next/static/chunks/main-app-437cd2399a48b31a.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:45] "GET /_next/static/chunks/173-a14b60890aaec8cf.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:45] "GET /_next/static/chunks/4bd1b696-c41c22badabd4b31.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:45] "GET /_next/static/media/904be59b21bd51cb-s.p.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:45] "GET /_next/static/css/be5a010b6a9454d5.css HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:45] "GET /markets/fort-lauderdale.jpg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:45] "GET /_next/static/media/a273567b21a7c318-s.p.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:45] "GET /mia-headshot.jpg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:45] "GET /markets/boca-raton.jpg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:45] "GET /_next/static/chunks/517-e142ec6174824ab2.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:45] "GET /_next/static/chunks/main-app-437cd2399a48b31a.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:45] "GET /_next/static/chunks/173-a14b60890aaec8cf.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:45] "GET /_next/static/chunks/970-63fea61223d8d0a3.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:45] "GET /_next/static/chunks/57-d528149d3fd2e48a.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:45] "GET /_next/static/chunks/970-63fea61223d8d0a3.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:45] "GET /_next/static/chunks/app/layout-4bec3a785721c72e.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:45] "GET /_next/static/chunks/57-d528149d3fd2e48a.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:45] "GET /_next/static/chunks/app/layout-4bec3a785721c72e.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:45] "GET /markets/palm-beach.jpg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:45] "GET /logo-lpt.png HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:45] "GET /_next/static/chunks/webpack-56fde41b55fa53df.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:45] "GET /_next/static/chunks/app/page-11e6b81662ba15f2.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:45] "GET /_next/static/chunks/app/page-11e6b81662ba15f2.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:45] "GET /markets/victoria-park.jpg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:45] "GET /markets/victoria-park.jpg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /markets/lighthouse-point.jpg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /markets/lighthouse-point.jpg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /markets/delray-beach.jpg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /logos/lpt-realty.png HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /_next/static/chunks/4bd1b696-c41c22badabd4b31.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /_next/static/chunks/517-e142ec6174824ab2.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /_next/static/chunks/main-app-437cd2399a48b31a.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /markets/delray-beach.jpg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /_next/static/chunks/173-a14b60890aaec8cf.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /logos/realtor-r.png HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /_next/static/chunks/970-63fea61223d8d0a3.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /_next/static/chunks/57-d528149d3fd2e48a.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /_next/static/chunks/app/layout-4bec3a785721c72e.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /_next/static/chunks/app/page-11e6b81662ba15f2.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /markets/victoria-park.jpg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /markets/lighthouse-point.jpg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /markets/delray-beach.jpg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /logos/lpt-realty.png HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /logos/realtor-r.png HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /manifest.webmanifest HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /manifest.webmanifest HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /home-search/index.txt?_rsc=1mj4n HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /markets/pompano-beach/index.txt?_rsc=1mj4n HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /contact/index.txt?_rsc=1mj4n HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /logos/equal-housing.png HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /markets/fort-lauderdale/index.txt?_rsc=1mj4n HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /markets/deerfield-beach/index.txt?_rsc=1mj4n HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /_next/static/chunks/app/home-search/page-b7b9d933e755ff42.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /_next/static/chunks/app/markets/%5Bslug%5D/page-3004c1476f2984a4.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /logos/equal-housing.png HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /home-search/index.txt?_rsc=rfu1b HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /contact/index.txt?_rsc=rfu1b HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /_next/static/chunks/app/home-search/page-b7b9d933e755ff42.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /logos/lpt-realty.png HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /logos/realtor-r.png HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /logos/equal-housing.png HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /markets/index.txt?_rsc=1sgaz HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /buyers/index.txt?_rsc=1sgaz HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /sellers/index.txt?_rsc=1sgaz HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /insights/index.txt?_rsc=1sgaz HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /about/index.txt?_rsc=1sgaz HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /_next/static/chunks/app/markets/page-c9b599e3f2d203aa.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /contact/index.txt?_rsc=1sgaz HTTP/1.1" 200 -
